Start Time,Duration (sec),Fixture,"Flow Rate Hot & Cold (gpm)","Flow Rate Hot Only (gpm)","Flow Rate Cold Only (gpm)"
1/18 11:59:42 AM,12,Kitchen Sink,0.574,0.488,0.086
1/18 12:01:36 PM,6,Sink 2,1.312,1.115,0.197
1/18 12:03:36 PM,6,Sink 4,0.027,0.023,0.004
1/18 12:05:30 PM,6,Kitchen Sink,0.496,0.422,0.074
1/18 12:07:24 PM,6,Kitchen Sink,0.192,0.163,0.029
1/18 12:09:24 PM,18,Kitchen Sink,1.386,1.178,0.208
1/18 12:11:18 PM,6,Sink 2,0.373,0.317,0.056
1/18 12:13:12 PM,18,Kitchen Sink,0.694,0.590,0.104
1/18 12:18:54 PM,6,Kitchen Sink,0.776,0.660,0.116
1/18 12:20:48 PM,18,Kitchen Sink,1.872,1.591,0.281
1/18 12:22:42 PM,6,Sink 2,0.287,0.244,0.043
1/18 12:24:42 PM,6,Kitchen Sink,1.441,1.225,0.216
1/18 12:26:36 PM,30,Sink 3,0.37,0.314,0.056
1/18 12:28:30 PM,66,Kitchen Sink,1.993,1.694,0.299
1/18 12:30:30 PM,6,Kitchen Sink,0.03,0.025,0.005
1/18 12:31:48 PM,18,Sink 4,1.238,1.052,0.186
1/18 12:32:24 PM,102,Kitchen Sink,1.196,1.017,0.179
1/18 12:34:18 PM,6,Kitchen Sink,2.332,1.982,0.350
1/18 12:36:18 PM,162,Kitchen Sink,0.899,0.764,0.135
1/18 12:38:12 PM,12,Kitchen Sink,1.471,1.250,0.221
1/18 12:40:06 PM,6,Sink 2,0.629,0.535,0.094
1/18 12:58:18 PM,48,Kitchen Sink,0.369,0.314,0.055
1/18 2:17:42 PM,6,Kitchen Sink,0.431,0.366,0.065
1/18 2:19:42 PM,6,Kitchen Sink,0.213,0.181,0.032
1/18 2:21:36 PM,12,Sink 2,0.275,0.234,0.041
1/18 3:34:54 PM,84,Kitchen Sink,0.828,0.704,0.124
1/18 3:53:36 PM,6,Sink 4,0.909,0.773,0.136
1/18 4:53:36 PM,18,Kitchen Sink,1.825,1.551,0.274
