Capacity,Power,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Elapsed Seconds
75,0,122.5616,122.3366,122.45,122.3366,121.6616,5.32956004143
75,0,122.5616,122.3366,122.45,122.3366,121.6616,11.4802560806
75,0,122.5616,122.3366,122.45,122.3366,121.6616,16.8001730442
75,0,122.5616,122.3366,122.45,122.3366,121.6616,22.1226649284
75,0,122.5616,122.3366,122.45,122.3366,121.6616,28.2710909843
75,0,122.5616,122.3366,122.45,122.3366,121.6616,33.6005079746
75,0,122.5616,122.3366,122.45,122.3366,121.775,38.9196720123
75,0,122.45,122.3366,122.45,122.3366,121.6616,45.0701360703
75,0,122.45,122.3366,122.45,122.3366,121.6616,50.3897020817
75,0,122.45,122.45,122.45,122.3366,121.6616,57.4412429333
75,0,122.45,122.3366,122.45,122.3366,121.6616,62.7600579262
75,0,122.45,122.3366,122.45,122.3366,121.6616,68.0802140236
75,0,122.45,122.3366,122.45,122.3366,121.6616,73.400094986
75,0,122.45,122.3366,122.45,122.3366,121.6616,79.5502231121
75,0,122.45,122.3366,122.45,122.3366,121.6616,85.6995420456
75,0,122.45,122.3366,122.45,122.3366,121.6616,91.8503201008
75,0,122.45,122.3366,122.45,122.3366,121.6616,98.0801570415
75,0,122.45,122.3366,122.45,122.3366,121.6616,103.399977922
75,0,122.45,122.3366,122.45,122.3366,121.6616,108.719684124
75,0,122.45,122.3366,122.45,122.3366,121.6616,114.870784998
75,0,122.45,122.3366,122.45,122.3366,121.6616,120.242442131
75,0,122.45,122.3366,122.45,122.3366,121.6616,125.560239077
75,0,122.45,122.3366,122.45,122.3366,121.775,130.879883051
75,0,122.45,122.3366,122.45,122.3366,121.6616,137.032900095
75,0,122.45,122.3366,122.45,122.3366,121.6616,142.350336075
75,0,122.45,122.3366,122.45,122.3366,121.6616,147.669894934
75,0,122.45,122.3366,122.45,122.3366,121.6616,152.990608931
75,0,122.45,122.3366,122.45,122.3366,121.6616,158.391737938
75,0,122.45,122.3366,122.45,122.3366,121.6616,164.539776087
75,0,122.45,122.3366,122.45,122.3366,121.6616,169.860139132
75,0,122.45,122.3366,122.45,122.3366,121.6616,175.180258989
75,0,122.45,122.3366,122.45,122.3366,121.6616,180.53049612
75,0,122.45,122.3366,122.45,122.3366,121.6616,187.519738913
75,0,122.45,122.3366,122.45,122.3366,121.6616,194.510308981
75,0,122.45,122.3366,122.45,122.3366,121.6616,199.829684019
75,0,122.45,122.3366,122.45,122.3366,121.6616,205.15013504
75,0,122.45,122.3366,122.45,122.3366,121.6616,210.469735146
75,0,122.45,122.3366,122.45,122.3366,121.6616,215.791401148
75,0,122.45,122.3366,122.45,122.3366,114.9116,224.549914122
75,0,122.3366,122.3366,122.45,122.3366,114.6866,229.869801044
75,0,122.3366,122.3366,122.45,122.3366,110.075,235.189933062
225,0,122.225,122.1116,122.3366,122.3366,106.7,240.509721041
225,0,122.225,122.0,122.3366,122.225,104.225,247.039808989
