Capacity,Power,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Elapsed Seconds
675,4500,120.9866,120.7616,112.4366,110.3,110.6366,5.31961607933
675,4500,120.9866,120.7616,112.55,110.3,110.975,11.469178915
675,4500,120.9866,120.7616,112.55,110.525,110.75,18.4507730007
675,4500,120.9866,120.875,112.55,110.6366,110.8616,23.7689640522
675,4500,120.9866,120.7616,112.55,110.75,110.8616,29.0989580154
675,4500,120.9866,120.875,112.325,110.8616,110.6366,35.2491180897
675,4500,120.9866,120.7616,112.325,110.8616,110.525,40.5684509277
675,4500,120.9866,120.875,112.4366,110.975,110.525,46.7288579941
600,4500,120.9866,120.875,112.55,111.0866,110.525,52.1191170216
600,4500,120.9866,120.7616,113.0,111.2,110.75,57.4491260052
600,4500,120.9866,120.7616,113.0,111.2,111.5366,63.5991129875
600,4500,120.9866,120.7616,113.0,111.2,111.425,68.9290430546
600,4500,120.9866,120.7616,113.675,111.3116,111.3116,74.2494549751
600,4500,120.9866,120.7616,113.7866,111.5366,111.3116,79.568903923
600,4500,120.9866,120.7616,113.5616,111.5366,111.5366,85.7193439007
600,4500,120.9866,120.875,113.5616,111.9866,111.65,92.7696828842
600,4500,120.9866,120.875,114.0116,112.1,111.9866,99.7488000393
600,4500,120.9866,120.7616,113.7866,112.1,111.9866,105.898583889
600,4500,120.9866,120.7616,113.7866,112.2116,112.325,111.228861094
600,4500,120.9866,120.875,113.9,112.325,112.1,118.209028006
600,4500,120.9866,120.875,114.125,112.4366,112.1,123.528848886
600,4500,120.9866,120.875,114.125,112.775,112.1,128.859538078
600,4500,120.9866,120.7616,114.125,112.8866,112.1,134.179773092
600,4500,120.9866,120.7616,114.0116,113.0,112.4366,140.328968048
600,4500,120.9866,120.7616,113.9,113.1116,113.1116,145.75937295
600,4500,120.9866,120.7616,114.0116,113.225,113.5616,151.90850687
600,4500,120.9866,120.7616,114.0116,113.3366,113.3366,158.060154915
600,4500,120.9866,120.7616,114.35,113.45,113.225,164.209136963
525,4500,120.9866,120.7616,114.4616,113.5616,113.1116,169.529983044
525,4500,120.9866,120.7616,114.575,113.675,113.225,174.848739862
525,4500,120.9866,120.7616,114.8,113.7866,113.1116,180.169714928
525,4500,120.9866,120.7616,114.8,113.7866,113.225,185.638603926
525,4500,120.9866,120.7616,114.8,114.0116,113.5616,190.95897603
525,4500,120.9866,120.7616,114.9116,114.125,114.575,196.27899909
525,4500,120.9866,120.7616,115.1366,114.2366,114.575,202.429008961
525,4500,120.9866,120.7616,115.3616,114.35,114.4616,208.579990864
525,4500,120.9866,120.7616,115.475,114.4616,114.4616,214.748693943
525,4500,120.9866,120.7616,115.7,114.4616,114.575,220.068428993
525,4500,120.9866,120.7616,115.5866,114.575,114.6866,225.438621044
