Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Elapsed Seconds
121.2116,121.1,121.2116,121.2116,119.75,4.1465959549
121.2116,121.1,121.2116,121.2116,119.75,9.13756895065
121.325,121.1,121.2116,121.2116,119.75,14.1262128353
121.325,121.1,121.2116,121.2116,119.75,18.3078079224
121.2116,121.1,121.2116,121.2116,119.75,22.4564259052
121.2116,121.1,121.2116,121.2116,119.75,27.4460070133
121.2116,121.1,121.2116,121.2116,119.75,32.4269888401
121.2116,121.1,121.2116,121.2116,119.75,36.577190876
121.2116,121.1,121.2116,121.2116,119.75,40.7264778614
121.2116,121.1,121.2116,121.2116,119.75,44.8859739304
121.2116,121.1,121.2116,121.1,119.75,49.0459418297
121.2116,121.1,121.2116,121.2116,119.6366,53.2259018421
121.2116,121.1,121.2116,121.2116,118.85,59.0462758541
121.2116,121.1,121.2116,121.1,115.475,63.1964018345
121.2116,121.1,121.2116,121.1,114.9116,67.3459918499
121.2116,121.1,121.2116,121.1,110.75,73.1664688587
121.1,120.875,121.2116,121.1,108.6116,77.3160099983
120.9866,120.7616,121.2116,121.1,106.475,81.4662618637
120.9866,120.7616,121.1,120.7616,104.5616,86.4460179806
121.1,120.7616,121.1,119.525,102.7616,93.0861079693
121.1,120.7616,121.1,118.175,101.75,100.616111994
120.9866,120.7616,121.1,118.175,101.75,105.628476858
120.875,120.7616,120.5366,112.325,99.05,110.786026955
120.875,120.7616,120.65,109.0616,98.2616,114.936113834
120.875,120.65,120.425,106.925,97.925,119.085958004
120.875,120.65,120.3116,105.575,97.7,123.23672986
120.875,120.65,120.2,104.675,97.475,128.216418982
120.65,120.65,119.975,103.55,97.3616,132.368028879
120.65,120.5366,119.975,102.9866,97.3616,136.516999006
120.65,120.425,119.975,102.65,97.25,140.777680874
120.65,120.425,120.0866,102.65,97.25,144.926373959
120.65,120.5366,120.2,102.7616,97.25,153.227123976
120.65,120.425,120.425,102.7616,97.25,157.387983799
120.65,120.425,120.425,102.5366,97.1366,161.536707878
120.65,120.425,120.425,102.3116,97.25,165.686924934
120.65,120.425,120.425,102.0866,97.25,170.66680479
120.65,120.425,120.425,101.975,97.25,175.647374868
120.65,120.425,120.425,101.8616,97.1366,179.877538919
120.65,120.425,120.425,102.0866,97.1366,184.026600838
120.65,120.425,120.425,102.425,97.25,188.176981926
120.65,120.425,120.425,102.65,97.3616,193.156457901
120.65,120.5366,120.5366,102.5366,97.7,198.99613595
120.65,120.5366,120.5366,102.2,97.7,203.977358818
120.65,120.5366,120.5366,102.2,97.7,208.96616292
120.65,120.425,120.425,101.525,98.15,213.115942955
120.65,120.425,120.5366,101.6366,98.375,218.096545935
120.65,120.425,120.425,102.0866,98.375,222.326385975
120.65,120.425,120.425,102.2,98.375,228.136837006
120.65,120.5366,120.425,102.2,98.4866,232.286088943
120.65,120.425,120.425,102.7616,98.6,236.437053919
120.65,120.425,120.425,102.425,98.7116,241.415941954
120.65,120.425,120.425,102.2,98.825,245.577000856
120.65,120.425,120.425,102.5366,98.9366,250.556932926
120.65,120.425,120.425,103.1,99.5,255.536835909
120.65,120.425,120.425,103.2116,99.5,259.696570873
120.65,120.425,120.425,103.325,100.4,263.8469069
120.65,120.425,120.425,103.325,100.625,267.996545792
120.65,120.425,120.425,103.325,100.85,272.326449871
120.65,120.425,120.425,103.2116,100.7366,276.486624002
120.65,120.425,120.425,102.875,100.7366,283.126681805
120.65,120.425,120.425,102.65,100.7366,287.277756929
120.65,120.425,120.425,102.5366,101.3,291.427655935
120.65,120.425,120.425,102.65,101.525,295.576786995
120.65,120.425,120.425,102.65,101.8616,299.726776838
120.65,120.425,120.425,102.65,101.8616,303.876765013
120.65,120.425,120.425,102.875,102.2,308.027348995
120.65,120.425,120.425,103.325,102.0866,312.255950928
120.65,120.425,120.425,103.775,102.2,316.41642189
120.65,120.425,120.425,103.8866,102.3116,322.237877846
120.65,120.425,120.425,104.1116,102.7616,326.627293825
120.65,120.425,120.425,104.1116,102.7616,332.436661005
120.65,120.425,120.425,104.0,103.2116,336.586671829
120.65,120.425,120.425,104.0,103.55,341.566684961
120.65,120.425,120.425,103.775,103.6616,345.726439953
120.65,120.425,120.425,104.0,103.4366,349.887517929
120.65,120.425,120.425,104.1116,103.4366,354.866072893
120.5366,120.425,120.425,104.1116,103.325,359.846706867
120.65,120.425,120.425,104.3366,103.2116,364.046190977
120.65,120.425,120.425,104.675,103.1,369.026669025
120.65,120.425,120.425,105.0116,103.1,374.006721973
120.5366,120.425,120.425,105.0116,103.1,378.986441851
120.65,120.425,120.425,105.125,103.325,384.796191931
120.5366,120.425,120.425,105.125,103.6616,388.947152853
120.5366,120.425,120.425,105.4616,104.1116,393.936131001
120.65,120.425,120.425,105.4616,104.5616,398.086705923
120.65,120.425,120.425,105.575,105.125,402.236636877
120.65,120.425,120.425,105.575,104.9,408.066669941
120.65,120.425,120.425,105.6866,105.2366,412.216362
120.65,120.425,120.425,105.8,105.6866,418.026468992
120.5366,120.425,120.425,105.9116,105.6866,422.179116964
120.5366,120.425,120.425,105.9116,105.8,427.156355858
120.65,120.425,120.425,106.025,106.025,431.306593895
120.65,120.425,120.425,106.25,106.475,436.306595802
120.65,120.425,120.425,106.25,106.8116,441.287307978
120.65,120.425,120.425,106.3616,106.8116,446.276922941
120.65,120.425,120.425,106.475,106.8116,452.096712828
